Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
Reaction ID	Enzyme	Adjusted kcat (1/s)	Saturation
PYRAMKIN-RXN	PDXK-CPLX[c]	[0.67]	[]
PYRIDOXKIN-RXN	PDXK-CPLX[c]	[2.33]	[]
PYRIMSYN3-RXN	HMP-P-KIN-CPLX[c]	[0.1608177696995849]	[]
R601-RXN-FUM/REDUCED-MENAQUINONE//SUC/CPD-9728.38.	FUMARATE-REDUCTASE[m]	[1052.4612144535188, 287.53734831010735, 406.12619817811776, 373.63610232386833]	[]
R601-RXN-FUM/REDUCED-MENAQUINONE//SUC/CPD-9728.38. (reverse)	FUMARATE-REDUCTASE[m]	[169.81200445969895, 45.486134195949184, 22.743067097974592, 48.73514378137413, 24.367571890687064]	[]
R621-RXN-NITRIC-OXIDE/NADH/OXYGEN-MOLECULE//NITRATE/NAD/PROTON.54.	EG10456-MONOMER[c]	[670.0]	[]
RHAMNULPALDOL-RXN	RHAMNULPALDOL-CPLX[c]	[38.3, 9.1, 87.99029399277286, 38.3]	[]
RHAMNULPALDOL-RXN (reverse)	RHAMNULPALDOL-CPLX[c]	[38.3]	[]
RIB5PISOM-RXN	RIB5PISOMA-CPLX[c]	[2100.0]	[]
RIBOFLAVIN-SYN-RXN	CPLX0-3952[c]	[0.02706424984658977, 0.6134049215684166]	[]
RIBOSYLHOMOCYSTEINASE-RXN	EG12712-MONOMER[c]	[0.8730107497977465]	[]
RIBULPEPIM-RXN	RIBULPEPIM-CPLX[c]	[20.4, 48.93178925810909, 19.4]	[]
RIBULPEPIM-RXN	EG12287-MONOMER[c]	[27.568760519928837]	[]
RIBULPEPIM-RXN	G7860-MONOMER[c]	[57.43491774985174]	[]
RXN-10856 (reverse)	CPLX0-3936[c]	[0.2044683071894722]	[]
RXN-11484	7KAPSYN-CPLX[c]	[0.09747028756274825, 0.09747028756274825]	[]
RXN-11496-PYRUVATE/UBIQUINONE-8/WATER//CARBON-DIOXIDE/ACET/CPD-9956.58.	PYRUVOXID-CPLX[c]	[383.66525056900963]	[]
RXN-11591	EG12163-MONOMER[c]	[0.012]	[]
RXN-11592	CPLX0-7423[c]	[0.0825, 0.10666668]	[]
RXN-11598	CPLX0-7727[c]	[0.0013, 0.0007]	[]
RXN-11601	EG11247-MONOMER[c]	[0.06]	[]
RXN-11832	CMPKI-MONOMER[c]	[167.3239936493845]	[]
RXN-11837	EG12098-MONOMER[c]	[0.032833334]	[]
RXN-11839	EG11177-MONOMER[c]	[0.12, 0.25271363809934766]	[]
RXN-11841	G7422-MONOMER[c]	[0.00097]	[]
RXN-11842	EG12609-MONOMER[c]	[0.099, 0.2274422742894129, 0.099]	[]
RXN-11845	EG11507-MONOMER[c]	[0.001]	[]
RXN-11860	CPLX0-7421[c]	[0.0073]	[]
RXN-11865	CPLX0-7421[c]	[0.0098]	[]
RXN-12070	CPLX0-7950[c]	[2.527136380993477]	[]
RXN-12402	CPLX0-3901[c]	[51.3]	[]
RXN-12458	CPLX0-3950[c]	[0.0167, 0.09]	[]
RXN-12583	E1P-CPLX[c]	[61.56873164380265]	[]
RXN-14025[CCO-PERI-BAC]-UMP/WATER//URIDINE/Pi.36.	APHA-CPLX[p]	[61.0]	[]
RXN-14026[CCO-PERI-BAC]-CMP/WATER//CYTIDINE/Pi.37.	APHA-CPLX[p]	[26.0]	[]
RXN-14073	GLYCPDIESTER-CYTO-MONOMER[c]	[3.7907045714902154]	[]
RXN-14090[CCO-CYTOSOL]-CPD-3711/WATER//CYTIDINE/Pi.41.	EG11817-MONOMER[c]	[5.93]	[]
RXN-14090[CCO-PERI-BAC]-CPD-3711/WATER//CYTIDINE/Pi.42.	APHA-CPLX[p]	[91.0]	[]
RXN-14126[CCO-CYTOSOL]-CPD-3706/WATER//ADENOSINE/Pi.42.	EG11817-MONOMER[c]	[9.84]	[]
RXN-14126[CCO-PERI-BAC]-CPD-3706/WATER//ADENOSINE/Pi.43.	APHA-CPLX[p]	[33.0]	[]
RXN-14136	GLYCPDIESTER-CYTO-MONOMER[c]	[3.216355393991698]	[]
RXN-14139	CPLX0-8106[c]	[15.2]	[]
RXN-14142[CCO-CYTOSOL]-DGMP/WATER//DEOXYGUANOSINE/Pi.43.	EG11817-MONOMER[c]	[8.04]	[]
RXN-14142[CCO-PERI-BAC]-DGMP/WATER//DEOXYGUANOSINE/Pi.44.	APHA-CPLX[p]	[15.0]	[]
RXN-14143	CPLX0-7625[c]	[0.23]	[]
RXN-14160	GLYCPDIESTER-CYTO-MONOMER[c]	[1.2635681904967386]	[]
RXN-14161[CCO-CYTOSOL]-DAMP/WATER//DEOXYADENOSINE/Pi.43.	CPLX0-7625[c]	[0.3, 0.14]	[]
RXN-14161[CCO-PERI-BAC]-DAMP/WATER//DEOXYADENOSINE/Pi.44.	APHA-CPLX[p]	[14.0]	[]
RXN-14522	APHA-CPLX[p]	[101.0]	[]
RXN-14523	APHA-CPLX[p]	[29.0]	[]
RXN-14524	APHA-CPLX[p]	[27.0]	[]
RXN-14525	APHA-CPLX[p]	[26.0]	[]
RXN-15125	LSERINEDEAM1-MONOMER[c]	[0.35150169662909264, 436.0, 436.0, 436.0, 436.0]	[]
RXN-15125	CPLX0-7622[c]	[544.0]	[]
RXN-15131	CYSTATHIONINE-BETA-LYASE-CPLX[c]	[80.40888484979244, 78.34122781079778]	[]
RXN-15578	TRYPTOPHAN-CPLX[c]	[15.622297627959673, 15.622297627959673]	[]
RXN-15581	DSERDEAM-MONOMER[c]	[36.06912834690689]	[]
RXN-15607	KDUD-MONOMER[c]	[0.0517, 0.283]	[]
RXN-15740-GLYCEROL-3P/CPD-9728//DIHYDROXY-ACETONE-PHOSPHATE/REDUCED-MENAQUINONE.70.	ANGLYC3PDEHYDROG-CPLX[i]	[76.50331044280252]	[]
RXN-16000	CPLX0-1962[c]	[9.357147606023831]	[]
RXN-16312	EG12097-MONOMER[c]	[294.0353674809573]	[]
RXN-16701	PGLYCDEHYDROG-CPLX[c]	[0.25]	[]
RXN-16701 (reverse)	PGLYCDEHYDROG-CPLX[c]	[33.3, 17.68995466695434, 31.014855584919943]	[]
RXN-1961	G6096-MONOMER[c]	[0.0153, 0.0702]	[]
RXN-6622	CPLX0-8122[c]	[178.33333]	[]
RXN-7607[CCO-CYTOSOL]-IMP/WATER//INOSINE/Pi.35.	G7742-MONOMER[c]	[5.973231445984582]	[]
RXN-7609[CCO-CYTOSOL]-GMP/WATER//GUANOSINE/Pi.37.	G7742-MONOMER[c]	[12.635681904967385]	[]
RXN-7609[CCO-PERI-BAC]-GMP/WATER//GUANOSINE/Pi.38.	APHA-CPLX[p]	[65.0]	[]
RXN-7609[CCO-PERI-BAC]-GMP/WATER//GUANOSINE/Pi.38.	G7742-MONOMER[c]	[12.635681904967385]	[]
RXN-7913	CMPKI-MONOMER[c]	[175.44651761294685]	[]
RXN-8667	HYDROPEROXIDI-CPLX[c]	[17000.0, 153.06291764965573, 171.53602840047625, 219.03831318830044]	[]
RXN-8992	CPLX0-7426[c]	[4.5947934199881395]	[]
RXN-8999	UPPSYN-CPLX[c]	[5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174, 5.743491774985174]	[]
RXN-9310	EG12438-MONOMER[c]	[167.0, 337.71731636912824]	[]
RXN-9311	CPLX0-8128[c]	[14.243859601963234]	[]
RXN-9535	FABB-CPLX[c]	[0.25271363809934766, 0.13026239345666377]	[]
RXN-9772	L-ASPARTATE-OXID-MONOMER[c]	[12.750551740467087, 0.6134049215684166]	[]
RXN-982	EG12237-MONOMER[c]	[0.6892190129982209, 0.3216355393991698, 0.20676570389946627]	[]
RXN0-1001	GLUCOSE-1-PHOSPHAT-CPLX[p]	[27.568760519928837, 2.1]	[]
RXN0-1342	EG10812-MONOMER[c]	[0.042]	[]
RXN0-1461	CPLX0-7808[c]	[0.003]	[]
RXN0-2201	CPLX0-1962[c]	[6.8229201293923785]	[]
RXN0-268	G7517-MONOMER[c]	[1.6541256311957302]	[]
RXN0-280-CPD0-2547/FMNH2/OXYGEN-MOLECULE//CPD-371/SO3/FMN/WATER/PROTON.62.	CPLX0-225[c]	[1.9795903335873155]	[]
RXN0-299	CPLX0-227[c]	[6.892190129982209, 5.360865815951154]	[]
RXN0-302	CPLX0-721[c]	[6.2029711169839885]	[]
RXN0-310	CPLX0-254[c]	[1.6]	[]
RXN0-313 (reverse)	CPLX0-201[c]	[21.118562305262124]	[]
RXN0-3281	FORMATEDEHYDROGH-MONOMER[c]	[6975.664246012296]	[]
RXN0-3741[CCO-CYTOSOL]-DIMP/WATER//DEOXYINOSINE/Pi.41.	CPLX0-7625[c]	[0.24]	[]
RXN0-3741[CCO-CYTOSOL]-DIMP/WATER//DEOXYINOSINE/Pi.41.	G7230-MONOMER[c]	[0.61]	[]
RXN0-384	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER[c]	[4.59]	[]
RXN0-4301	CPLX0-7660[c]	[1.0108545523973906]	[]
RXN0-4361	EG11736-MONOMER[c]	[82.0170625467883, 82.0170625467883, 82.7062815597865]	[]
RXN0-4401	CPLX0-7974[c]	[8.730107497977464]	[]
RXN0-4641	CPLX0-7732[c]	[9.259677318461085]	[]
RXN0-5065	CPLX0-3941[c]	[229.73967099940697]	[]
RXN0-5107	G7164-MONOMER[c]	[15.0]	[]
RXN0-5107	CPLX0-8106[c]	[15.4]	[]
RXN0-5108	CPLX0-3971[c]	[75.0]	[]
RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38.	PSERPHOSPHA-MONOMER[c]	[151.62818285960861]	[]
RXN0-5116	RIBULOKIN-CPLX[c]	[226.27416997969522]	[]
RXN0-5118	EG11189-MONOMER[c]	[4.7]	[]
RXN0-5120	EG11339-MONOMER[c]	[1.1486983549970349]	[]
RXN0-5144	G7199-MONOMER[c]	[0.7121929800981616]	[]
RXN0-5185[CCO-CYTOSOL]-CPD-2961/WATER//GLUCONATE/Pi.42.	EG11725-MONOMER[c]	[36.758347359905116]	[]
RXN0-5186	G7408-MONOMER[c]	[44.79923584488436]	[]
RXN0-5187[CCO-CYTOSOL]-FMN/WATER//RIBOFLAVIN/Pi.38.	EG11202-MONOMER[c]	[21.595529073944256]	[]
RXN0-5187[CCO-CYTOSOL]-FMN/WATER//RIBOFLAVIN/Pi.38.	G6442-MONOMER[c]	[14.933078614961453, 0.6]	[]
RXN0-5213	G6958-MONOMER[c]	[36.06912834690689, 12.86542157596679]	[]
RXN0-5228	G6661-MONOMER[c]	[16.24504792712471]	[]
RXN0-5229	G7945-MONOMER[c]	[1.1716723220969756]	[]
RXN0-5240	GLYOHMETRANS-CPLX[c]	[0.0008934776359918591, 0.000633]	[]
RXN0-5292[CCO-CYTOSOL]-DCMP/WATER//DEOXYCYTIDINE/Pi.42.	CPLX0-7625[c]	[0.23]	[]
RXN0-5387	G7868-MONOMER[c]	[6.0, 370.0, 78.5709674817972]	[]
RXN0-5390	G6244-MONOMER[c]	[54.44830202685945]	[]
RXN0-5408	EG10983-MONOMER[c]	[6.5, 4.4, 0.49]	[]
RXN0-5422	EG11362-MONOMER[c]	[2.2]	[]
RXN0-5433	CPLX0-7723[c]	[0.9189586839976279, 0.9189586839976279]	[]
RXN0-5462[CCO-CYTOSOL]-GTP/WATER//GDP/Pi/PROTON.38.	CPLX0-3561[c]	[0.006892190129982209, 0.0028]	[]
RXN0-5462[CCO-CYTOSOL]-GTP/WATER//GDP/Pi/PROTON.38.	G7841-MONOMER[c]	[0.006011522156950053]	[]
RXN0-5462[CCO-CYTOSOL]-GTP/WATER//GDP/Pi/PROTON.38.	EG12104-MONOMER[c]	[0.0053]	[]
RXN0-5462[CCO-CYTOSOL]-GTP/WATER//GDP/Pi/PROTON.38.	EG10021-MONOMER[c]	[0.0013784380259964418]	[]
RXN0-6254	G7496-MONOMER[c]	[0.014174937700663411]	[]
RXN0-6274	EG10595-MONOMER[c]	[1.26, 0.43650537489887326]	[]
RXN0-6373-GLC/UBIQUINONE-8//GLC-D-LACTONE/CPD-9956.41.	GLUCDEHYDROG-MONOMER[m]	[8867.95130057711]	[]
RXN0-6562	EG12693-MONOMER[c]	[5.7]	[]
RXN0-6564	HOMOSERKIN-CPLX[c]	[22.284748086942475]	[]
RXN0-6565	CPLX0-7788[c]	[0.4548613419594919]	[]
RXN0-6565 (reverse)	CPLX0-7788[c]	[0.6335568691578637]	[]
RXN0-6708	CPLX0-7932[c]	[112.57243878970942]	[]
RXN0-6732	CPLX0-7958[i]	[32.49009585424942]	[]
RXN0-6733	EG10722-MONOMER[c]	[10.396830673359815]	[]
RXN0-7008-PRO/UBIQUINONE-8//L-DELTA1-PYRROLINE_5-CARBOXYLATE/CPD-9956/PROTON.67.	PUTA-CPLX[c]	[45.947934199881395, 45.947934199881395, 66.62450458982802]	[]
RXN0-7010	CPLX0-7984[c]	[39.585237323186824]	[]
RXN0-7022	EG12440-MONOMER[c]	[4.83]	[]
RXN0-7024	CPLX0-7993[c]	[131.08945627226163, 143.33458073653]	[]
RXN0-704	LYXK-CPLX[c]	[110.27504207971535]	[]
RXN0-7046	CPLX0-7766[c]	[23.66318611293892]	[]
RXN0-705	EG12285-MONOMER[c]	[147.03338943962046]	[]
RXN0-705	CPLX0-7744[c]	[117.16723220969756]	[]
RXN0-7075	CPLX0-8032[c]	[34.46095064991105, 25.27136380993477]	[]
RXN0-7079	EG11438-MONOMER[c]	[1.2]	[]
RXN0-7081	G7199-MONOMER[c]	[0.7811148813979838]	[]
RXN0-7101	KDUD-MONOMER[c]	[0.9716667, 0.21]	[]
RXN0-7101 (reverse)	KDUD-MONOMER[c]	[0.5116667]	[]
RXN0-7104	CPLX0-3941[c]	[0.9419326510975685]	[]
RXN0-7105	CPLX0-7766[c]	[0.3216355393991698]	[]
RXN0-7192	BIOTINLIG-MONOMER[c]	[0.3, 0.17]	[]
RXN0-742	PURK-CPLX[c]	[13.554640588965013, 119.46462891969162]	[]
RXN0-743	PURE-CPLX[c]	[40.90474523395972]	[]
RXN0-961	CPLX0-7989[c]	[38.3]	[]
S-ADENMETSYN-RXN	S-ADENMETSYN-CPLX[c]	[4.242640687119286, 3.4460950649911046]	[]
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	G6208-MONOMER[c]	[28.5]	[]
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	CPLX0-3954[c]	[6.51]	[]
SERINE-O-ACETTRAN-RXN	CPLX0-237[c]	[980.9883951674677]	[]
SERINE-O-ACETTRAN-RXN	CYSSYNMULTI-CPLX[c]	[980.9883951674677]	[]
SPERMIDINESYN-RXN	SPERMIDINESYN-CPLX[c]	[0.14]	[]
SUCCCOASYN-RXN	SUCCCOASYN[c]	[102.69363293673493, 135.5960040400202, 23.230418535788335, 31.840293937164432, 43.374277965422976]	[]
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN-SUC/UBIQUINONE-8//FUM/CPD-9956.31.	CPLX0-8160[i]	[383.66525056900963, 126.71137383157273, 138.08290738056004, 178.6955271983718, 87.07133530877525]	[]
SUCCORNTRANSAM-RXN	SUCCORNTRANSAM-CPLX[c]	[6.892190129982209]	[]
TARTRATE-DEHYDROGENASE-RXN	G6986-MONOMER[c]	[0.5973231445984581]	[]
THIOSULFATE-SULFURTRANSFERASE-RXN[CCO-CYTOSOL]-S2O3/HCN//HSCN/SO3/PROTON.39.	CPLX0-242[c]	[528.401243298636]	[]
THIOSULFATE-SULFURTRANSFERASE-RXN[CCO-PERI-BAC]-S2O3/HCN//HSCN/SO3/PROTON.40.	EG10780-MONOMER[p]	[597.3231445984582, 528.401243298636, 147.03338943962046]	[]
THREODEHYD-RXN	THREODEHYD-CPLX[c]	[202.17091047947815]	[]
THREONINE-ALDOLASE-RXN	LTAA-CPLX[c]	[1.6781134508719824, 2.527136380993477]	[]
THRESYN-RXN	THRESYN-MONOMER[c]	[7.33]	[]
THYM-PHOSPH-RXN	DEOA-CPLX[c]	[4066.3921766895037, 454.8845485788258, 454.8845485788258]	[]
TREHALA-RXN[CCO-PERI-BAC]-TREHALOSE/WATER//GLC/ALPHA-GLUCOSE.49.	TREHALAPERI-MONOMER[p]	[199.0]	[]
TREHALOSE6PSYN-RXN	TREHALOSE6PSYN-MONOMER[c]	[11.858884986801037]	[]
TREHALOSEPHOSPHA-RXN	TREHALOSEPHOSPHASYN-MONOMER[c]	[23.717769973602074, 20.906310060946034]	[]
TRIOSEPISOMERIZATION-RXN	TPI[c]	[19987.351376948405, 20676.570389946628]	[]
TRIPHOSPHATASE-RXN[CCO-CYTOSOL]-P3I/WATER//PPI/Pi/PROTON.38.	CPLX0-243[c]	[38.36652505690096]	[]
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EG11779-MONOMER[c]	[8.27062815597865]	[]
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EG11022-MONOMER[c]	[0.7282747570681202, 0.41812620121892075]	[]
TYROSINE-AMINOTRANSFERASE-RXN	TYRB-DIMER[c]	[482.45330909875463, 1148.6983549970348, 574.3491774985174]	[]
UDP-NACMUR-ALA-LIG-RXN	CPLX0-8014[c]	[6.85, 16.3, 5.3]	[]
UDPACYLGLCNACDEACETYL-RXN	UDPACYLGLCNACDEACETYL-MONOMER[c]	[5.360865815951154, 2.4367571890687065, 2.4367571890687065, 14.344377319651118]	[]
UDPGLCNACEPIM-RXN	CPLX0-8008[c]	[7.1]	[]
UDPGLUCEPIM-RXN	UDPGLUCEPIM-CPLX[c]	[44.321198880416986]	[]
UDPGLUCEPIM-RXN (reverse)	UDPGLUCEPIM-CPLX[c]	[1000.0, 1746.021499595493, 1148.6983549970348, 861.5237662477763, 1231.1444133449163]	[]
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	CPLX0-8016[c]	[6.892190129982209]	[]
UDPNACETYLGLUCOSAMACYLTRANS-RXN	UDPNACETYLGLUCOSAMACYLTRANS-CPLX[c]	[11.647699363748417, 8.27062815597865]	[]
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER[c]	[10.912634372471832, 8.730107497977464, 2.4]	[]
UGD-RXN	CPLX0-8098[c]	[25.96058282293299]	[]
UNDECAPRENYL-DIPHOSPHATASE-RXN[CCO-CYTOSOL]-UNDECAPRENYL-DIPHOSPHATE/WATER//CPD-9646/Pi/PROTON.64.	PGPPHOSPHAB-MONOMER[i]	[50.0]	[]
URA-PHOSPH-RXN	DEOA-CPLX[c]	[80.40888484979244]	[]
UROGENIIISYN-RXN	UROGENIIISYN-MONOMER[c]	[1148.6983549970348]	[]
URPHOS-RXN	URPHOS-CPLX[c]	[225.14487757941885]	[]
